"designacion_anio","justicia_federal_o_nacional","cargo_tipo","instancia_tipo","materia","cantidad_varones","cantidad_mujeres"
2000,"Nacional","Defensor","Tribunal","Penal",1,0
2000,"Federal","Fiscal","Juzgado","Penal",1,0
2000,"Nacional","Fiscal","Tribunal","Penal",1,0
2001,"Federal","Defensor","Juzgado","Penal",0,1
2001,"Nacional","Defensor","Juzgado","Múltiple",0,2
2001,"Nacional","Defensor","Juzgado","Penal",0,1
2001,"Federal","Fiscal","Cámara","Penal",3,0
2001,"Nacional","Fiscal","Juzgado","Múltiple",0,1
2001,"Nacional","Fiscal","Tribunal","Penal",1,0
2001,"Federal","Juez","Cámara","Electoral",2,0
2001,"Federal","Juez","Cámara","Múltiple",4,2
2001,"Federal","Juez","Juzgado","Múltiple",5,1
2001,"Federal","Juez","Cámara","Penal",1,0
2001,"Federal","Juez","Juzgado","Penal",1,0
2001,"Federal","Juez","Tribunal","Penal",3,1
2001,"Federal","Juez","Cámara","Seguridad social",1,0
2001,"Nacional","Juez","Juzgado","Civil y/o comercial",4,5
2001,"Nacional","Juez","Juzgado","Laboral",2,0
2001,"Nacional","Juez","Tribunal","Penal",1,0
2002,"Federal","Defensor","Cámara","Penal",1,0
2002,"Federal","Defensor","Juzgado","Penal",1,0
2002,"Federal","Defensor","Tribunal","Penal",0,1
2002,"Federal","Defensor","Cámara","Penal económico",1,0
2002,"Nacional","Defensor","Juzgado","Penal",1,0
2002,"Nacional","Defensor","Tribunal","Penal",0,1
2002,"Federal","Fiscal","Juzgado","Penal",2,0
2002,"Federal","Fiscal","Tribunal","Penal",1,0
2002,"Nacional","Fiscal","Juzgado","Múltiple",1,0
2002,"Nacional","Fiscal","Juzgado","Penal",1,0
2002,"Federal","Juez","Cámara","Civil y/o comercial",2,1
2002,"Federal","Juez","Juzgado","Civil y/o comercial",1,0
2002,"Federal","Juez","Juzgado","Contencioso administrativo",2,1
2002,"Federal","Juez","Cámara","Múltiple",3,2
2002,"Federal","Juez","Juzgado","Múltiple",8,0
2002,"Federal","Juez","Juzgado","Penal",1,0
2002,"Federal","Juez","Tribunal","Penal",4,1
2002,"Federal","Juez","Juzgado","Penal económico",2,1
2002,"Nacional","Juez","Cámara","Civil y/o comercial",1,0
2002,"Nacional","Juez","Juzgado","Civil y/o comercial",2,2
2002,"Nacional","Juez","Cámara","Laboral",2,1
2002,"Nacional","Juez","Juzgado","Laboral",2,1
2002,"Nacional","Juez","Juzgado","Penal",2,3
2002,"Nacional","Juez","Tribunal","Penal",1,0
2003,"Nacional","Defensor","Juzgado","Penal",0,1
2003,"Nacional","Defensor","Tribunal","Penal",1,0
2003,"Federal","Fiscal","Tribunal","Penal",1,0
2003,"Nacional","Fiscal","Cámara","Múltiple",1,0
2003,"Federal","Juez","Cámara","Múltiple",0,1
2003,"Federal","Juez","Cámara","Penal",0,1
2003,"Federal","Juez","Tribunal","Penal",2,1
2003,"Federal","Juez","Cámara","Penal económico",1,0
2003,"Nacional","Juez","Cámara","Laboral",0,1
2003,"Nacional","Juez","Cámara","Penal",1,0
2003,"Nacional","Juez","Tribunal","Penal",2,0
2004,"Federal","Defensor","Tribunal","Penal",1,0
2004,"Nacional","Defensor","Juzgado","Múltiple",0,1
2004,"Nacional","Defensor","Juzgado","Penal",1,0
2004,"Federal","Fiscal","Juzgado","Penal",4,0
2004,"Nacional","Fiscal","Cámara","Civil y/o comercial",0,1
2004,"Nacional","Fiscal","Tribunal","Múltiple",1,0
2004,"Nacional","Fiscal","Juzgado","Penal",2,0
2004,"Nacional","Fiscal","Tribunal","Penal",0,1
2004,"Federal","Juez","Cámara","Civil y/o comercial",1,1
2004,"Federal","Juez","Juzgado","Contencioso administrativo",3,0
2004,"Federal","Juez","Cámara","Múltiple",3,0
2004,"Federal","Juez","Juzgado","Múltiple",3,2
2004,"Federal","Juez","Cámara","Penal",1,0
2004,"Federal","Juez","Juzgado","Penal",5,0
2004,"Federal","Juez","Tribunal","Penal",5,0
2004,"Federal","Juez","Juzgado","Seguridad social",0,2
2004,"Nacional","Juez","Cámara","Civil y/o comercial",3,1
2004,"Nacional","Juez","Juzgado","Civil y/o comercial",1,1
2004,"Nacional","Juez","Juzgado","Laboral",0,1
2004,"Nacional","Juez","Cámara","Penal",3,1
2004,"Nacional","Juez","Tribunal","Penal",3,1
2005,"Federal","Defensor","Cámara","Penal",1,1
2005,"Federal","Defensor","Tribunal","Penal",2,0
2005,"Nacional","Defensor","Cámara","Penal",0,1
2005,"Federal","Fiscal","Juzgado","Penal",2,0
2005,"Federal","Juez","Cámara","Múltiple",0,1
2005,"Federal","Juez","Juzgado","Múltiple",3,2
2005,"Federal","Juez","Tribunal","Penal",3,1
2005,"Nacional","Juez","Cámara","Civil y/o comercial",4,2
2005,"Nacional","Juez","Juzgado","Civil y/o comercial",11,11
2005,"Nacional","Juez","Cámara","Laboral",3,0
2005,"Nacional","Juez","Juzgado","Laboral",1,4
2005,"Nacional","Juez","Juzgado","Penal",13,2
2005,"Nacional","Juez","Tribunal","Penal",9,1
2006,"Federal","Defensor","Cámara","Penal",0,1
2006,"Federal","Defensor","Juzgado","Penal",0,2
2006,"Federal","Defensor","Tribunal","Penal",1,0
2006,"Nacional","Defensor","Cámara","Penal",1,0
2006,"Nacional","Defensor","Juzgado","Penal",0,1
2006,"Federal","Fiscal","Juzgado","Civil y/o comercial",2,0
2006,"Federal","Fiscal","Cámara","Penal",1,0
2006,"Federal","Fiscal","Juzgado","Penal",1,1
2006,"Federal","Fiscal","Tribunal","Penal",1,0
2006,"Federal","Fiscal","Tribunal","Penal económico",2,0
2006,"Nacional","Fiscal","Tribunal","Múltiple",1,0
2006,"Nacional","Fiscal","Juzgado","Penal",5,4
2006,"Nacional","Fiscal","Sin datos","Sin datos",0,1
2006,"Federal","Juez","Cámara","Contencioso administrativo",1,0
2006,"Federal","Juez","Juzgado","Contencioso administrativo",0,1
2006,"Federal","Juez","Cámara","Múltiple",1,1
2006,"Federal","Juez","Juzgado","Múltiple",1,1
2006,"Federal","Juez","Juzgado","Penal",0,1
2006,"Federal","Juez","Tribunal","Penal",2,0
2006,"Federal","Juez","Cámara","Seguridad social",0,1
2006,"Nacional","Juez","Cámara","Civil y/o comercial",10,6
2006,"Nacional","Juez","Juzgado","Civil y/o comercial",4,1
2006,"Nacional","Juez","Cámara","Laboral",4,0
2006,"Nacional","Juez","Juzgado","Penal",7,1
2007,"Federal","Defensor","Juzgado","Penal",4,2
2007,"Federal","Defensor","Tribunal","Penal",0,2
2007,"Nacional","Defensor","Cámara","Múltiple",0,1
2007,"Nacional","Defensor","Cámara","Penal",1,0
2007,"Nacional","Defensor","Juzgado","Penal",1,1
2007,"Federal","Fiscal","Juzgado","Penal",1,0
2007,"Federal","Fiscal","Tribunal","Penal",1,0
2007,"Nacional","Fiscal","Sin datos","Sin datos",0,2
2007,"Federal","Juez","Cámara","Contencioso administrativo",1,0
2007,"Federal","Juez","Juzgado","Contencioso administrativo",1,0
2007,"Federal","Juez","Cámara","Múltiple",3,1
2007,"Federal","Juez","Juzgado","Múltiple",1,0
2007,"Federal","Juez","Tribunal","Penal",2,1
2007,"Nacional","Juez","Juzgado","Civil y/o comercial",0,2
2007,"Nacional","Juez","Cámara","Laboral",0,1
2008,"Federal","Defensor","Cámara","Penal",1,2
2008,"Federal","Defensor","Juzgado","Penal",6,1
2008,"Federal","Defensor","Tribunal","Penal",2,1
2008,"Nacional","Defensor","Juzgado","Múltiple",1,1
2008,"Nacional","Defensor","Cámara","Penal",2,0
2008,"Nacional","Defensor","Juzgado","Penal",1,3
2008,"Nacional","Defensor","Tribunal","Penal",0,2
2008,"Federal","Fiscal","Cámara","Penal",1,0
2008,"Federal","Fiscal","Juzgado","Penal",8,1
2008,"Federal","Fiscal","Tribunal","Penal",1,0
2008,"Nacional","Fiscal","Cámara","Laboral",0,1
2008,"Nacional","Fiscal","Juzgado","Laboral",1,1
2008,"Nacional","Fiscal","Cámara","Múltiple",0,1
2008,"Nacional","Fiscal","Tribunal","Múltiple",2,0
2008,"Nacional","Fiscal","Juzgado","Penal",1,1
2008,"Federal","Juez","Cámara","Civil y/o comercial",2,0
2008,"Federal","Juez","Cámara","Múltiple",4,0
2008,"Federal","Juez","Juzgado","Múltiple",7,1
2008,"Federal","Juez","Cámara","Penal",2,0
2008,"Federal","Juez","Tribunal","Penal",7,1
2008,"Federal","Juez","Juzgado","Penal económico",4,0
2008,"Federal","Juez","Juzgado","Seguridad social",0,1
2008,"Nacional","Juez","Juzgado","Civil y/o comercial",17,11
2008,"Nacional","Juez","Juzgado","Laboral",6,11
2008,"Nacional","Juez","Cámara","Penal",4,1
2008,"Nacional","Juez","Juzgado","Penal",5,1
2008,"Nacional","Juez","Tribunal","Penal",7,2
2009,"Federal","Defensor","Cámara","Penal",1,0
2009,"Federal","Defensor","Juzgado","Penal",1,2
2009,"Federal","Defensor","Tribunal","Penal",2,1
2009,"Federal","Defensor","Cámara","Penal económico",1,0
2009,"Nacional","Defensor","Cámara","Múltiple",1,0
2009,"Nacional","Defensor","Cámara","Penal",1,2
2009,"Nacional","Defensor","Juzgado","Penal",2,0
2009,"Nacional","Defensor","Tribunal","Penal",1,0
2009,"Federal","Fiscal","Juzgado","Penal",2,0
2009,"Federal","Fiscal","Tribunal","Penal",0,1
2009,"Federal","Juez","Cámara","Contencioso administrativo",3,1
2009,"Federal","Juez","Juzgado","Contencioso administrativo",2,0
2009,"Federal","Juez","Cámara","Múltiple",2,0
2009,"Federal","Juez","Juzgado","Múltiple",4,0
2009,"Federal","Juez","Tribunal","Penal",6,0
2009,"Federal","Juez","Juzgado","Penal económico",1,0
2009,"Federal","Juez","Cámara","Seguridad social",0,1
2009,"Nacional","Juez","Cámara","Civil y/o comercial",5,7
2009,"Nacional","Juez","Juzgado","Civil y/o comercial",6,8
2010,"Federal","Defensor","Juzgado","Penal",1,0
2010,"Nacional","Defensor","Juzgado","Penal",0,1
2010,"Federal","Fiscal","Juzgado","Penal",1,0
2010,"Federal","Juez","Cámara","Contencioso administrativo",1,0
2010,"Federal","Juez","Cámara","Múltiple",0,2
2010,"Federal","Juez","Tribunal","Penal económico",1,1
2010,"Nacional","Juez","Tribunal","Penal",1,0
2011,"Federal","Defensor","Juzgado","Penal",1,0
2011,"Federal","Defensor","Tribunal","Penal",1,0
2011,"Federal","Fiscal","Cámara","Penal",1,0
2011,"Federal","Fiscal","Juzgado","Penal",3,0
2011,"Federal","Fiscal","Tribunal","Penal",1,0
2011,"Federal","Juez","Juzgado","Civil y/o comercial",1,1
2011,"Federal","Juez","Cámara","Contencioso administrativo",3,1
2011,"Federal","Juez","Cámara","Múltiple",3,1
2011,"Federal","Juez","Juzgado","Múltiple",11,2
2011,"Federal","Juez","Cámara","Penal",3,1
2011,"Federal","Juez","Juzgado","Penal",0,1
2011,"Federal","Juez","Tribunal","Penal",8,3
2011,"Federal","Juez","Juzgado","Penal económico",1,0
2011,"Federal","Juez","Tribunal","Penal económico",1,0
2011,"Nacional","Juez","Cámara","Civil y/o comercial",2,1
2011,"Nacional","Juez","Juzgado","Civil y/o comercial",9,6
2011,"Nacional","Juez","Cámara","Laboral",5,6
2011,"Nacional","Juez","Cámara","Penal",1,0
2011,"Nacional","Juez","Juzgado","Penal",10,3
2011,"Nacional","Juez","Tribunal","Penal",17,6
2012,"Federal","Defensor","Cámara","Penal",2,1
2012,"Federal","Defensor","Juzgado","Penal",2,1
2012,"Nacional","Defensor","Juzgado","Penal",1,0
2012,"Federal","Fiscal","Cámara","Penal",1,0
2012,"Federal","Fiscal","Juzgado","Penal",2,0
2012,"Federal","Fiscal","Tribunal","Penal",2,2
2012,"Nacional","Fiscal","Tribunal","Múltiple",0,1
2012,"Federal","Juez","Cámara","Múltiple",4,1
2012,"Federal","Juez","Juzgado","Múltiple",6,1
2012,"Federal","Juez","Juzgado","Penal",4,0
2012,"Federal","Juez","Tribunal","Penal",4,0
2012,"Nacional","Juez","Juzgado","Civil y/o comercial",1,0
2012,"Nacional","Juez","Juzgado","Laboral",4,7
2012,"Nacional","Juez","Cámara","Penal",1,0
2013,"Federal","Defensor","Juzgado","Múltiple",1,0
2013,"Federal","Defensor","Juzgado","Penal",4,1
2013,"Federal","Defensor","Tribunal","Penal",2,2
2013,"Nacional","Defensor","Cámara","Múltiple",1,0
2013,"Nacional","Defensor","Juzgado","Múltiple",0,1
2013,"Nacional","Defensor","Juzgado","Penal",0,1
2013,"Nacional","Defensor","Tribunal","Penal",1,3
2013,"Federal","Fiscal","Juzgado","Penal",3,0
2013,"Federal","Fiscal","Tribunal","Penal",9,3
2013,"Federal","Fiscal","Juzgado","Seguridad social",1,0
2013,"Nacional","Fiscal","Cámara","Penal",1,0
2013,"Nacional","Fiscal","Juzgado","Penal",3,2
2013,"Nacional","Fiscal","Tribunal","Penal",1,2
2013,"Federal","Juez","Tribunal","Penal",1,0
2013,"Nacional","Juez","Cámara","Penal",9,1
2014,"Federal","Defensor","Cámara","Múltiple",1,0
2014,"Federal","Defensor","Cámara","Penal",3,0
2014,"Federal","Defensor","Juzgado","Penal",1,3
2014,"Federal","Defensor","Tribunal","Penal",6,2
2014,"Nacional","Defensor","Cámara","Penal",0,3
2014,"Nacional","Defensor","Juzgado","Penal",2,0
2014,"Nacional","Defensor","Tribunal","Penal",4,1
2014,"Federal","Fiscal","Juzgado","Múltiple",1,0
2014,"Federal","Fiscal","Juzgado","Penal",9,3
2014,"Federal","Fiscal","Tribunal","Penal",12,0
2014,"Nacional","Fiscal","Cámara","Civil y/o comercial",1,1
2014,"Nacional","Fiscal","Juzgado","Civil y/o comercial",0,1
2014,"Nacional","Fiscal","Juzgado","Laboral",2,0
2014,"Nacional","Fiscal","Cámara","Múltiple",1,0
2014,"Nacional","Fiscal","Juzgado","Penal",3,2
2014,"Federal","Juez","Cámara","Múltiple",4,2
2014,"Federal","Juez","Juzgado","Múltiple",1,2
2014,"Federal","Juez","Tribunal","Penal",3,1
2014,"Federal","Juez","Juzgado","Penal económico",2,0
2014,"Federal","Juez","Juzgado","Seguridad social",2,1
2014,"Nacional","Juez","Juzgado","Civil y/o comercial",10,4
2014,"Nacional","Juez","Juzgado","Laboral",1,1
2014,"Nacional","Juez","Juzgado","Penal",1,2
2014,"Nacional","Juez","Tribunal","Penal",1,0
2015,"Federal","Defensor","Juzgado","Múltiple",1,1
2015,"Federal","Defensor","Juzgado","Penal",4,3
2015,"Federal","Defensor","Tribunal","Penal",5,2
2015,"Nacional","Defensor","Cámara","Múltiple",1,0
2015,"Nacional","Defensor","Juzgado","Penal",6,1
2015,"Nacional","Defensor","Tribunal","Penal",0,1
2015,"Federal","Fiscal","Cámara","Civil y/o comercial",1,0
2015,"Federal","Fiscal","Juzgado","Múltiple",1,0
2015,"Federal","Fiscal","Juzgado","Penal",8,10
2015,"Federal","Fiscal","Tribunal","Penal",3,0
2015,"Federal","Fiscal","Cámara","Penal económico",1,1
2015,"Federal","Fiscal","Tribunal","Penal económico",1,0
2015,"Nacional","Fiscal","Juzgado","Penal",4,2
2015,"Nacional","Fiscal","Tribunal","Penal",1,0
2015,"Nacional","Fiscal","Sin datos","Sin datos",1,0
2015,"Federal","Juez","Juzgado","Contencioso administrativo",0,1
2015,"Federal","Juez","Cámara","Múltiple",4,1
2015,"Federal","Juez","Juzgado","Múltiple",4,0
2015,"Federal","Juez","Juzgado","Penal",2,0
2015,"Federal","Juez","Tribunal","Penal",7,4
2015,"Nacional","Juez","Cámara","Civil y/o comercial",4,3
2015,"Nacional","Juez","Juzgado","Laboral",1,0
2015,"Nacional","Juez","Tribunal","Penal",2,0
2016,"Federal","Defensor","Juzgado","Contencioso administrativo",1,0
2016,"Federal","Defensor","Cámara","Penal",1,0
2016,"Federal","Defensor","Juzgado","Penal",1,0
2016,"Federal","Defensor","Tribunal","Penal",1,0
2016,"Nacional","Defensor","Cámara","Penal",2,0
2016,"Nacional","Defensor","Juzgado","Penal",1,0
2016,"Federal","Fiscal","Juzgado","Penal",1,0
2016,"Federal","Fiscal","Cámara","Seguridad social",1,0
2016,"Nacional","Fiscal","Cámara","Múltiple",1,1
2016,"Nacional","Fiscal","Tribunal","Múltiple",1,2
2016,"Nacional","Fiscal","Tribunal","Penal",1,2
2016,"Federal","Juez","Juzgado","Contencioso administrativo",0,1
2016,"Federal","Juez","Cámara","Múltiple",2,1
2016,"Federal","Juez","Juzgado","Múltiple",8,1
2016,"Federal","Juez","Juzgado","Penal",2,0
2016,"Federal","Juez","Tribunal","Penal",4,1
2016,"Federal","Juez","Cámara","Penal económico",0,1
2016,"Nacional","Juez","Juzgado","Laboral",0,1
2017,"Federal","Defensor","Cámara","Penal",1,0
2017,"Federal","Defensor","Juzgado","Penal",10,5
2017,"Nacional","Defensor","Cámara","Penal",1,0
2017,"Federal","Fiscal","Juzgado","Penal",1,0
2017,"Federal","Fiscal","Tribunal","Penal",1,0
2017,"Nacional","Fiscal","Tribunal","Múltiple",3,0
2017,"Nacional","Fiscal","Tribunal","Penal",4,0
2017,"Federal","Juez","Cámara","Civil y/o comercial",2,0
2017,"Federal","Juez","Juzgado","Civil y/o comercial",4,1
2017,"Federal","Juez","Cámara","Múltiple",5,2
2017,"Federal","Juez","Juzgado","Múltiple",4,0
2017,"Federal","Juez","Tribunal","Penal",7,1
2017,"Nacional","Juez","Cámara","Laboral",2,1
2017,"Nacional","Juez","Juzgado","Laboral",1,8
2017,"Nacional","Juez","Juzgado","Penal",7,5
2018,"Federal","Defensor","Cámara","Penal",1,0
2018,"Federal","Defensor","Juzgado","Penal",0,1
2018,"Federal","Defensor","Tribunal","Penal",2,1
2018,"Nacional","Defensor","Cámara","Penal",2,0
2018,"Nacional","Defensor","Juzgado","Penal",0,1
2018,"Nacional","Defensor","Tribunal","Penal",2,1
2018,"Federal","Fiscal","Cámara","Múltiple",1,0
2018,"Federal","Fiscal","Cámara","Penal",1,0
2018,"Federal","Fiscal","Juzgado","Penal",4,1
2018,"Nacional","Fiscal","Tribunal","Múltiple",2,0
2018,"Nacional","Fiscal","Juzgado","Penal",1,0
2018,"Nacional","Fiscal","Sin datos","Sin datos",1,0
2018,"Federal","Juez","Cámara","Civil y/o comercial",1,0
2018,"Federal","Juez","Cámara","Contencioso administrativo",1,1
2018,"Federal","Juez","Cámara","Múltiple",3,2
2018,"Federal","Juez","Juzgado","Múltiple",3,0
2018,"Federal","Juez","Cámara","Penal",1,0
2018,"Federal","Juez","Juzgado","Penal",0,1
2018,"Federal","Juez","Tribunal","Penal",5,2
2018,"Federal","Juez","Tribunal","Penal económico",1,0
2018,"Federal","Juez","Juzgado","Seguridad social",1,0
2018,"Federal","Juez","Sin datos","Sin datos",4,0
2018,"Nacional","Juez","Cámara","Civil y/o comercial",5,2
2018,"Nacional","Juez","Juzgado","Civil y/o comercial",10,18
2018,"Nacional","Juez","Cámara","Laboral",1,3
2018,"Nacional","Juez","Juzgado","Laboral",2,3
2018,"Nacional","Juez","Cámara","Penal",1,0
2018,"Nacional","Juez","Juzgado","Penal",6,6
2018,"Nacional","Juez","Tribunal","Penal económico",2,0
2018,"Nacional","Juez","Sin datos","Sin datos",2,1
2019,"Federal","Defensor","Tribunal","Penal",2,0
2019,"Nacional","Defensor","Cámara","Penal",1,0
2019,"Nacional","Defensor","Tribunal","Penal",0,1
2019,"Federal","Juez","Juzgado","Contencioso administrativo",1,0
2019,"Federal","Juez","Juzgado","Múltiple",4,2
2019,"Federal","Juez","Juzgado","Penal",0,1
2019,"Federal","Juez","Tribunal","Penal",6,4
2019,"Federal","Juez","Juzgado","Seguridad social",1,1
2019,"Nacional","Juez","Cámara","Civil y/o comercial",2,1
2019,"Nacional","Juez","Juzgado","Civil y/o comercial",3,1
2019,"Nacional","Juez","Cámara","Laboral",2,1
2019,"Nacional","Juez","Juzgado","Laboral",2,5
2019,"Nacional","Juez","Juzgado","Penal",1,0
2020,"Federal","Defensor","Cámara","Penal",2,1
2020,"Federal","Defensor","Juzgado","Penal",0,1
2020,"Federal","Defensor","Tribunal","Penal",2,2
2020,"Nacional","Defensor","Juzgado","Múltiple",1,0
2020,"Nacional","Defensor","Juzgado","Penal",1,1
2020,"Nacional","Defensor","Juzgado","Sin datos",0,1
2020,"Federal","Fiscal","Cámara","Penal",1,0
2020,"Federal","Fiscal","Juzgado","Penal",0,1
2020,"Federal","Juez","Juzgado","Contencioso administrativo",3,0
2020,"Federal","Juez","Cámara","Electoral",1,0
2020,"Federal","Juez","Cámara","Múltiple",1,0
2020,"Federal","Juez","Juzgado","Múltiple",8,4
2020,"Federal","Juez","Juzgado","Penal",0,1
2020,"Federal","Juez","Tribunal","Penal",2,1
2020,"Federal","Juez","Tribunal","Penal económico",1,0
2020,"Federal","Juez","Cámara","Seguridad social",2,2
2020,"Nacional","Juez","Cámara","Civil y/o comercial",1,0
2020,"Nacional","Juez","Juzgado","Civil y/o comercial",0,2
2020,"Nacional","Juez","Juzgado","Laboral",5,7
2020,"Nacional","Juez","Tribunal","Penal",1,2
2021,"Federal","Defensor","Cámara","Penal",4,1
2021,"Federal","Defensor","Juzgado","Penal",1,2
2021,"Federal","Defensor","Tribunal","Penal",0,2
2021,"Federal","Defensor","Tribunal","Penal económico",0,1
2021,"Nacional","Defensor","Juzgado","Penal",1,0
2021,"Nacional","Defensor","Juzgado","Sin datos",0,1
2021,"Federal","Fiscal","Juzgado","Penal",1,0
2021,"Federal","Juez","Cámara","Civil y/o comercial",1,1
2021,"Federal","Juez","Juzgado","Civil y/o comercial",3,1
2021,"Federal","Juez","Juzgado","Contencioso administrativo",0,1
2021,"Federal","Juez","Cámara","Múltiple",2,0
2021,"Federal","Juez","Juzgado","Múltiple",2,0
2021,"Federal","Juez","Cámara","Penal",2,0
2021,"Federal","Juez","Tribunal","Penal",3,0
2021,"Federal","Juez","Cámara","Penal económico",1,0
2021,"Nacional","Juez","Cámara","Civil y/o comercial",4,3
2021,"Nacional","Juez","Juzgado","Civil y/o comercial",9,5
2021,"Nacional","Juez","Cámara","Laboral",3,2
2021,"Nacional","Juez","Juzgado","Laboral",1,2
2021,"Nacional","Juez","Tribunal","Penal",6,2
